"","copy_col","reviewer","title","flat_title","first_release_year","all_release_year","platform","flat_platform","uv_index","uv_title","uv_raw_title","uv_first_release_year","uv_publisher","uv_developer","uv_platform","gb_index","gb_title","gb_raw_title","gb_first_release_year","gb_platform","is_duplicate","is_sampled","target_platform"
"48","Gotcha Color----1973----Arcade","Sam","Gotcha Color","gotcha color",1973,"1973","Arcade","arcade",26082,"Gotcha Color","Gotcha Color",1973,"Atari",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"49","Hockey TV----1973----Arcade","Brian","Hockey TV","hockey tv",1973,"1973","Arcade","arcade",28704,"Hockey TV","Hockey TV",1973,"Sega",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"50","Lemonade Stand----1973----Apple IIe","Kameron","Lemonade Stand","lemonade stand",1973,"1973----1979","APL2----Apple IIe----Apple IIGS----C64","apl2----apple iie----apple iigs----c64",34849,"Lemonade Stand","Lemonade Stand----Lemonade Stand (Limonadenstand)",1979,"Apple Computer----author----SheppyWare","MECC----SheppyWare","Apple IIe----Apple IIGS----C64",22284,"Lemonade Stand","Lemonade Stand",1973,"APL2",FALSE,TRUE,"Apple IIe"
"51","Maze War----1973----Internet Only","Kate","Maze War","maze war",1973,"1973----1974----1999","Atari 8-bit----Internet Only----MAC----PC","atari 8-bit----internet only----mac----pc",37946,"Maze War","Maze War----Maze War (Maze;Ames Maze War)",1973,"MIT----Video 61",NA,"Atari 8-bit----Internet Only",24113,"Maze War","Maze War",1974,"MAC----PC",FALSE,TRUE,"Internet Only"
"52","Paddle Battle----1973----ARC","Sam","Paddle Battle","paddle battle",1973,"1973","ARC","arc",NA,NA,NA,NA,NA,NA,NA,28499,"Paddle Battle","Paddle Battle",1973,"ARC",FALSE,TRUE,"ARC"
"53","Pong Doubles----1973----Arcade","Brian","Pong Doubles","pong doubles",1973,"1973","ARC----Arcade","arc----arcade",46926,"Pong Doubles","Pong Doubles (Coupe Davis)",1973,"Atari","Atari France","Arcade",29901,"Pong Doubles","Pong Doubles",1973,"ARC",FALSE,TRUE,"Arcade"
"54","Pong Tron----1973----Arcade","Kameron","Pong Tron","pong tron",1973,"1973","Arcade","arcade",46929,"Pong Tron","Pong Tron",1973,"Sega",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"55","Pong Tron II----1973----Arcade","Kate","Pong Tron II","pong tron 2",1973,"1973","Arcade","arcade",46930,"Pong Tron II","Pong Tron II",1973,"Sega",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"56","Space Race----1973----COCO","Sam","Space Race","space race",1973,"1973","ARC----Arcade----COCO","arc----arcade----coco",56166,"Space Race","Space Race",1973,"Atari",NA,"Arcade",36062,"Space Race","Space Race",1973,"ARC----COCO",FALSE,TRUE,"COCO"
"57","W.I.N.----1973----Odyssey","Brian","W.I.N.","w.1.n.",1973,"1973","Odyssey","odyssey",68115,"W.I.N.","W.I.N.",1973,"Magnavox",NA,"Odyssey",NA,NA,NA,NA,NA,FALSE,TRUE,"Odyssey"
"58","Winner IV----1973----Arcade","Kameron","Winner IV","winner 4",1973,"1973","Arcade","arcade",69210,"Winner IV","Winner IV (Winner)",1973,"Bally/Midway","Midway","Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"59","µTanks----1974----C128","Kate","µTanks","µtanks",1974,"1974----1983----1987----2015","Arcade----C128----Linux/Unix----PC----ZX Spectrum","arcade----c128----linux/unix----pc----zx spectrum",60347,"Tanks","Tanks",1974,"Atari / Kee Games----Cascade Games----thepattybeast----Tilt","thepattybeast","Arcade----C128----Linux/Unix----ZX Spectrum",42,"µTanks","µTanks",NA,"PC",FALSE,TRUE,"C128"
"60","Astro Hockey----1974----Arcade","Sam","Astro Hockey","astro hockey",1974,"1974","Arcade","arcade",5184,"Astro Hockey","Astro Hockey",1974,"Brunswick",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"61","Balloon Gun----1974----ARC","Brian","Balloon Gun","balloon gun",1974,"1974----1975","ARC----Arcade","arc----arcade",6277,"Balloon Gun","Balloon Gun",1975,"Sega",NA,"Arcade",3928,"Balloon Gun","Balloon Gun",1974,"ARC",FALSE,TRUE,"ARC"
"62","Clean Sweep----1974----VECT","Kameron","Clean Sweep","clean sweep",1974,"1974----1982","Arcade----VECT----Vectrex","arcade----vect----vectrex",12773,"Clean Sweep","Clean Sweep",1974,"GCE----Ramtek",NA,"Arcade----Vectrex",7899,"Clean Sweep","Clean Sweep",1982,"VECT",FALSE,TRUE,"VECT"
"63","DND----1974----Internet Only","Kate","DND","dnd",1974,"1974----1975","Internet Only----PLATO","internet only----plato",17771,"dnd","dnd (The Game of Dungeons)",1974,"Southern Illinois University",NA,"Internet Only----PLATO",11267,"DND","DND",1975,"PLATO",FALSE,TRUE,"Internet Only"
"64","Dr. Pong----1974----Arcade","Sam","Dr. Pong","dr. pong",1974,"1974","Arcade","arcade",18456,"Dr. Pong","Dr. Pong",1974,"Atari",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"65","Formula K----1974----Arcade","Brian","Formula K","formula k",1974,"1974","Arcade","arcade",23389,"Formula K","Formula K",1974,"Atari / Kee Games",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"66","Goal Kick----1974----Arcade","Kameron","Goal Kick","goal kick",1974,"1974","Arcade","arcade",25691,"Goal Kick","Goal Kick",1974,"Sega",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"67","Gran Trak 10----1974----Arcade","Kate","Gran Trak 10","gran trak 10",1974,"1974","ARC----Arcade","arc----arcade",26187,"Gran Trak 10","Gran Trak 10",1974,"Atari",NA,"Arcade",16817,"Gran Trak 10","Gran Trak 10",1974,"ARC",FALSE,TRUE,"Arcade"
"68","Gran Trak 20----1974----Arcade","Sam","Gran Trak 20","gran trak 20",1974,"1974","Arcade","arcade",26188,"Gran Trak 20","Gran Trak 20",1974,"Atari",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"69","m199h----1974----PLATO","Brian","m199h","m199h",1974,"1974","PLATO","plato",36135,"m199h","m199h",1974,NA,NA,"PLATO",NA,NA,NA,NA,NA,FALSE,TRUE,"PLATO"
"70","Mini Hockey----1974----Arcade","Kameron","Mini Hockey","mini hockey",1974,"1974","Arcade","arcade",39335,"Mini Hockey","Mini Hockey",1974,"Sega",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"71","pedit5----1974----PLATO","Kate","pedit5","pedit5",1974,"1974----1975","PLATO","plato",45260,"Pedit5","Pedit5 (orthanc)",1974,NA,NA,"PLATO",28865,"pedit5","pedit5",1975,"PLATO",FALSE,TRUE,"PLATO"
"72","Ping Pong----1974----ARC","Sam","Ping Pong","ping pong",1974,"1974----1985----1987----1993----2007----2013","Amiga----Amstrad CPC----ARC----Arcade----C64----CPC----FDS----MSX----PC----SPEC----Vii----WIIU----WSHP----XBGS","amiga----amstrad cpc----arc----arcade----c64----cpc----fds----msx----pc----spec----vii----wiiu----wshp----xbgs",46006,"Ping Pong","Ping Pong----Ping Pong (Konami's Ping-Pong)",1974,"Atari----author----Imagine----JungleTac----Markt & Technik","JungleTac","Amiga----Amstrad CPC----Arcade----C64----Vii",29343,"Ping Pong","Ping Pong",1985,"ARC----C64----CPC----FDS----MSX----PC----SPEC----WIIU----WSHP----XBGS",FALSE,TRUE,"ARC"
"73","Puppy Pong----1974----Arcade","Brian","Puppy Pong","puppy pong",1974,"1974","Arcade","arcade",48196,"Puppy Pong","Puppy Pong",1974,"Atari",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"74","Quack----1974----Linux/Unix","Kameron","Quack","quack",1974,"1974----1986","Amstrad CPC----Arcade----Linux/Unix","amstrad cpc----arcade----linux/unix",48568,"Quack","Quack----Quack (Crack-Quack)",1974,"Atari----author","author","Amstrad CPC----Arcade----Linux/Unix",NA,NA,NA,NA,NA,FALSE,TRUE,"Linux/Unix"
"75","Quadra Pong----1974----Arcade","Kate","Quadra Pong","quadra pong",1974,"1974","ARC----Arcade","arc----arcade",48583,"Quadra Pong","Quadra Pong",1974,"Atari",NA,"Arcade",30959,"Quadrapong","Quadrapong",1974,"ARC",FALSE,TRUE,"Arcade"
"76","Qwak!----1974----Arcade","Sam","Qwak!","qwak!",1974,"1974----1982----1993----2006","AMI----Amiga----ARC----Arcade----CD32----Electron----GBA","ami----amiga----arc----arcade----cd32----electron----gba",48947,"Qwak!","Qwak----Qwak!",1974,"Acornsoft----Atari----BlitWise Games----Superior Software----Team17","BlitWise Games----Team17","Amiga----Arcade----Electron----GBA",31107,"Qwak","Qwak",1974,"AMI----ARC----CD32----GBA",FALSE,TRUE,"Arcade"
"77","Rebound----1974----C16/Plus4","Brian","Rebound","rebound",1974,"1974----1986----1987","A800----Arcade----Atari 8-bit----Atari ST----C16/Plus4----OS/2","a800----arcade----atari 8-bit----atari st----c16/plus4----os/2",49785,"Rebound","Rebound----ReBound----Rebound (C16 Rebound;Bounce)",1974,"Antic----Atari----Robtek",NA,"Arcade----Atari 8-bit----Atari ST----C16/Plus4----OS/2",31723,"Rebound","Rebound",NA,"A800",FALSE,TRUE,"C16/Plus4"
"78","Shark JAWS----1974----Arcade","Kameron","Shark JAWS","shark jaws",1974,"1974","Arcade","arcade",53508,"Shark JAWS","Shark JAWS",1974,"Atari----Horror Games","Atari","Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"79","Spasim----1974----PLATO","Kate","Spasim","spasim",1974,"1974","PLATO","plato",56372,"Spasim","Spasim (Space Simulation;'spasm')",1974,"University of Illinois",NA,"PLATO",36161,"Spasim","Spasim",1974,"PLATO",FALSE,TRUE,"PLATO"
"80","Speed Race----1974----ARC","Sam","Speed Race","speed race",1974,"1974","ARC","arc",NA,NA,NA,NA,NA,NA,NA,36238,"Speed Race","Speed Race",1974,"ARC",FALSE,TRUE,"ARC"
"81","Spike----1974----ZX Spectrum","Brian","Spike","spike",1974,"1974----1983----1985----2013","Arcade----VECT----Vectrex----ZX Spectrum","arcade----vect----vectrex----zx spectrum",56693,"Spike","Spike",1974,"Atari / Kee Games----Firebird----GCE----Milton Bradley",NA,"Arcade----Vectrex----ZX Spectrum",36356,"Spike","Spike",2013,"VECT",FALSE,TRUE,"ZX Spectrum"
"82","Star Trader----1974----X68000","Kameron","Star Trader","star trader",1974,"1974----1983----1984","Amstrad CPC----C16/Plus4----C64----DEC PDP-1----PC-8801----SPEC----X68000----ZX Spectrum","amstrad cpc----c16/plus4----c64----dec pdp-1----pc-8801----spec----x68000----zx spectrum",57337,"Star Trader","Star Trader----Star Trader (TrarTrader)",1974,"Bug-Byte----EMM Software----Falcom----Idi Produktions----Melbourne House----People's Computer Company","author","Amstrad CPC----C16/Plus4----DEC PDP-1----PC-8801----X68000----ZX Spectrum",36761,"Star Trader","Star Trader",1984,"C64----SPEC",FALSE,TRUE,"X68000"
"83","Super Pong----1974----Arcade","Kate","Super Pong","super pong",1974,"1974----1994","ARC----Arcade----SNES","arc----arcade----snes",59119,"Super Pong","Super Pong",1974,"Atari",NA,"Arcade----SNES",38023,"Super Pong","Super Pong",1974,"ARC",FALSE,TRUE,"Arcade"
"84","Table Hockey----1974----Arcade","Sam","Table Hockey","table hockey",1974,"1974","Arcade","arcade",59973,"Table Hockey","Table Hockey",1974,"Sega",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"85","Tank----1974----Arcade","Brian","Tank","tank",1974,"1974----1985----1987----2003","Amstrad CPC----ARC----Arcade----C64----Chip 8----CPC----MS-DOS----PSPN----SPEC----Windows----ZX Spectrum","amstrad cpc----arc----arcade----c64----chip 8----cpc----ms-dos----pspn----spec----windows----zx spectrum",60303,"Tank","Tank----Tank (Rail-Gun Tank Battle)",1974,"Atari----author----Media Verlag----Newstrad----Ocean","Choice Software----Kee Games","Amstrad CPC----Arcade----C64----Chip 8----MS-DOS----Windows----ZX Spectrum",38828,"Tank","Tank",1985,"ARC----C64----CPC----PSPN----SPEC",FALSE,TRUE,"Arcade"
"86","The New Spasim----1974----PLATO","Kameron","The New Spasim","the new spasim",1974,"1974","PLATO","plato",62976,"The New Spasim","The New Spasim",1974,NA,NA,"PLATO",NA,NA,NA,NA,NA,FALSE,TRUE,"PLATO"
"87","Touch Me----1974----Arcade","Kate","Touch Me","touch me",1974,"1974","Arcade","arcade",65147,"Touch Me","Touch Me",1974,"Atari",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"88","Trak 10----1974----Arcade","Sam","Trak 10","trak 10",1974,"1974","Arcade","arcade",65446,"Trak 10","Trak 10",1974,"Atari",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"89","Trak 20----1974----Arcade","Brian","Trak 20","trak 20",1974,"1974","Arcade","arcade",65447,"Trak 20","Trak 20",1974,"Atari",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"90","Twin Racer----1974----Arcade","Kameron","Twin Racer","twin racer",1974,"1974","Arcade","arcade",66320,"Twin Racer","Twin Racer",1974,"Atari / Kee Games",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"91","Wander----1974----Linux/Unix","Kate","Wander","wander",1974,"1974----2012----2013----2015","LIN----Linux/Unix----MAC----PC----PS4","lin----linux/unix----mac----pc----ps4",68261,"Wander","Wander",1974,"author----Wander Team","author----Wander Team","Linux/Unix",44163,"Wander","Wander",1974,"LIN----MAC----PC----PS4",FALSE,TRUE,"Linux/Unix"
"92","Wild Gunman?----1974----WIIU","Sam","Wild Gunman?","wild gunman?",1974,"1974----1984","ARC----Arcade----NES----WIIU","arc----arcade----nes----wiiu",69026,"Wild Gunman?","Wild Gunman (<U+30EF><U+30A4><U+30EB><U+30C9><U+30AC><U+30F3><U+30DE><U+30F3>)----Wild Gunman?",1984,"Nintendo","Intelligent Systems","Arcade----NES",44747,"Wild Gunman","Wild Gunman",1974,"ARC----NES----WIIU",FALSE,TRUE,"WIIU"
"93","World Cup----1974----Amstrad CPC","Brian","World Cup","world cup",1974,"1974----1977----1985","Amstrad CPC----Arcade","amstrad cpc----arcade",69696,"World Cup","World Cup",1974,"Artic Computing----Atari----Sega",NA,"Amstrad CPC----Arcade",45202,"World Cup","World Cup",NA,NA,FALSE,TRUE,"Amstrad CPC"
"94","Adventure: The Colossal Cave----1975----DEC PDP-1","Kameron","Adventure: The Colossal Cave","adventure: the colossal cave",1975,"1975----1981----1997","DEC PDP-1----Linux/Unix----MS-DOS----OS/2","dec pdp-1----linux/unix----ms-dos----os/2",2242,"Adventure: The Colossal Cave","Adventure - The Colossal Cave----Adventure - The Colossal Cave (ADVENT;Adventure 350 version)----Adventure: The Colossal Cave (ADVENT)----Adventure: The Colossal Cave (Microsoft Adventure;ADVENT;Colossal Cave Adventure)",1975,"author----IBM","author----Microsoft","DEC PDP-1----Linux/Unix----MS-DOS----OS/2",NA,NA,NA,NA,NA,FALSE,TRUE,"DEC PDP-1"
"95","AiRace----1975----DSI","Kate","AiRace","airace",1975,"1975----2010","DS----DSI----PLATO","ds----dsi----plato",2663,"Airace","Airace",1975,"University of Illinois",NA,"PLATO",1726,"AiRace","AiRace",2010,"DS----DSI",FALSE,TRUE,"DSI"
"96","Airfight----1975----PLATO","Sam","Airfight","airfight",1975,"1975","PLATO","plato",2682,"airfight","airfight (0airfight)",1975,"University of Illinois",NA,"PLATO",1747,"Airfight","Airfight",NA,"PLATO",FALSE,TRUE,"PLATO"
"97","Anti Aircraft----1975----Arcade","Brian","Anti Aircraft","anti aircraft",1975,"1975","Arcade","arcade",4107,"Anti Aircraft","Anti Aircraft",1975,"Atari",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"98","Biplane----1975----Arcade","Kameron","Biplane","biplane",1975,"1975","Arcade","arcade",7962,"Biplane","Biplane",1975,"Fun Games",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"99","Bullet Mark----1975----Arcade","Kate","Bullet Mark","bullet mark",1975,"1975","Arcade","arcade",10154,"Bullet Mark","Bullet Mark",1975,"Sega",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"100","Crash 'n Score----1975----Arcade","Sam","Crash 'n Score","crash 'n score",1975,"1975","Arcade","arcade",14113,"Crash 'n Score","Crash 'n Score",1975,"Atari",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"101","Cross Fire----1975----VIC-20","Brian","Cross Fire","cross fire",1975,"1975----1981----1982----1983----1989----1990----1991----2001----2006----2007----2010","Amstrad CPC----Apple IIe----Arcade----Atari 8-bit----BROW----C64----GEN----Linux/Unix----MAC----Mega Drive / Genesis----MS-DOS----NES----PC----VIC-20----Windows----XBGS----ZX Spectrum","amstrad cpc----apple iie----arcade----atari 8-bit----brow----c64----gen----linux/unix----mac----mega drive / genesis----ms-dos----nes----pc----vic-20----windows----xbgs----zx spectrum",14533,"Cross Fire","Cross Fire (<U+30AF><U+30ED><U+30B9><U+30D5><U+30A1><U+30A4><U+30A2>)----Crossfire----CrossFire----CrossFire (<U+30AF><U+30ED><U+30B9><U+30D5><U+30A1><U+30A4><U+30E4><U+30FC>;Cross Fire)----CrossFire (Super Airwolf;Cross Fire;<U+30B9><U+30FC><U+30D1><U+30FC><U+30A8><U+30A2><U+30FC><U+30A6><U+30EB><U+30D5>)----Crossfire (Tron)",1975,"Atari / Kee Games----Atlantis Software----author----IBM----Janis----Kyugo----Kyugo Boueki----On-Line Systems----Palm Tree----Sierra On-Line----Sierravision","author----Kyugo----Kyugo Boueki----Pantheon Software","Amstrad CPC----Apple IIe----Arcade----Atari 8-bit----C64----Linux/Unix----Mega Drive / Genesis----MS-DOS----NES----VIC-20----Windows----ZX Spectrum",9035,"Cross Fire","Cross Fire----Crossfire----CrossFire",1990,"BROW----GEN----MAC----NES----PC----XBGS",FALSE,TRUE,"VIC-20"
"102","Dodgem----1975----Windows","Kameron","Dodgem","dodgem",1975,"1975----1979----1983----2001","Arcade----MicroBee----Windows","arcade----microbee----windows",17823,"Dodgem","Dodgem----Dodgem (Dodgeball)",1975,"Atari----eGames----Honeysoft----Zaccaria","Zillions Development","Arcade----MicroBee----Windows",NA,NA,NA,NA,NA,FALSE,TRUE,"Windows"
"103","Duck-Shoot----1975----C64","Kate","Duck-Shoot","duck-shoot",1975,"1975----1981----1983----1984","Amstrad CPC----Arcade----Atom----C64----VIC-20----ZX Spectrum","amstrad cpc----arcade----atom----c64----vic-20----zx spectrum",19169,"Duck-Shoot","Duck-Shoot----Duck Shoot----Duck Shoot (Entenjagd)----Duck Shoot (Ora Sparo)----Duckshoot (Duck Shoot)",1975,"author----Century Publishing----Granada Publishing----Mastertronic----Sega","Mr. Chip Software----Shuttle Soft","Amstrad CPC----Arcade----Atom----C64----VIC-20----ZX Spectrum",12263,"Duck Shoot","Duck Shoot",1984,"C64",FALSE,TRUE,"C64"
"104","Dungeon----1975----DEC PDP-1","Sam","Dungeon","dungeon",1975,"1975----1981----1993----2002","AST----Atom----DEC PDP-1----Linux/Unix----PLATO","ast----atom----dec pdp-1----linux/unix----plato",19257,"dungeon","dungeon----Dungeon",1975,"Acornsoft----Claremont Graduate University----DECUS----Infocom----University of Illinois","Infocom","Atom----DEC PDP-1----Linux/Unix----PLATO",12314,"Dungeon","Dungeon",1993,"AST",FALSE,TRUE,"DEC PDP-1"
"105","Erase----1975----Arcade","Brian","Erase","erase",1975,"1975","Arcade","arcade",20591,"Erase","Erase",1975,"Sega",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"106","EVR Race----1975----ARC","Kameron","EVR Race","evr race",1975,"1975","ARC","arc",NA,NA,NA,NA,NA,NA,NA,13545,"EVR Race","EVR Race",1975,"ARC",FALSE,TRUE,"ARC"
"107","Goal 4----1975----Arcade","Kate","Goal 4","goal 4",1975,"1975","Arcade","arcade",25689,"Goal 4","Goal 4",1975,"Atari",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"108","Gun Fight----1975----BAST","Sam","Gun Fight","gun fight",1975,"1975----1982----1983","ARC----Arcade----BAST----C64----VIC-20","arc----arcade----bast----c64----vic-20",26860,"Gun Fight","Gun Fight----Gun Fight (Western Gun)",1975,"Bally/Midway----Solar Software----Sumlock----Taito","Taito","Arcade----VIC-20",17283,"Gun Fight","Gun Fight",1975,"ARC----BAST----C64",FALSE,TRUE,"BAST"
"109","Hi Way----1975----Arcade","Brian","Hi Way","hi way",1975,"1975","Arcade","arcade",28374,"Hi Way","Hi Way (Highway)",1975,"Atari",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"110","Indy 800----1975----Arcade","Kameron","Indy 800","indy 800",1975,"1975","Arcade","arcade",30021,"Indy 800","Indy 800",1975,"Atari / Kee Games",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
